Account,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueCoins,PerformanceScore
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,72846.484272,174.6918088057554,8.418833,13404.23882,-10309.40032,861809.4,2066.6892086330936,57.31414868105516,9,36727.812879405275
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1856,64521.887634,34.763948078663795,0.0,8424.257062,-1457.7349,11679706.01,6292.94504849138,33.13577586206897,9,32444.622696310344
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247243,161.13327482831323,0.0,20665.89598,0.0,1143896.46,3445.471265060241,47.59036144578313,11,27008.075428728916
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3853,37706.173148,9.786185608097586,0.0,4037.871978,-6820.76955,6780291.47,1759.7434388787956,44.30314041007007,6,19086.60227605035
0x271b280974205ca63b716753467d5a371de622ab,1146,31763.088431,27.71648205148342,0.0,1584.342755,-122.02974,12500778.8,10908.183944153578,43.019197207678886,5,16106.640201538394
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,372,29677.264671,79.7775932016129,0.0,3008.231185,0.0,1202872.74,3233.528870967742,41.39784946236559,5,15055.62158281183
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,22488.500821,4.648305254443986,0.0,7066.554924,-17178.87662,108877041.1,22504.555828854896,43.861099627945435,7,11477.555908639728
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,21758.831753,40.746875941947565,0.0,4005.321,-540.253351,4448323.26,8330.193370786517,32.20973782771536,5,11050.464565638576
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1554,14781.443047,9.511868112612612,0.0,1261.448002,-776.860259,5661783.44,3643.361287001287,45.10939510939511,7,7630.268499046976
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999997,4.0281190682641395,0.0,7322.017,-31036.69194,17193375.42,4790.5754862078575,32.76678740596267,13,7418.293605029812
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,617,-27704.567439,-44.90205419611021,0.0,6672.970248,-5981.36399,1168623.85,1894.0418962722854,29.497568881685577,45,-13614.795875091571
