Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
AIXBT,627,33705.211957,53.756318910685806,2.447603,2503.49092,-437.42811,857067.38,1366.933620414673,61.24401913875598,7
WLD,1612,30827.212261,19.12358080707196,0.0,1215.2933,-17.841684,2486253.02,1542.3405831265509,42.86600496277916,4
PURR,1172,26738.447005,22.814374577645054,2.416315,5949.806984,-53.409456,1089476.01,929.5870392491468,69.11262798634812,3
@85,132,26506.140009,200.80409097727272,0.0,989.226013,0.0,49034.5,371.4734848484849,32.57575757575758,3
kPEPE,1198,22629.982033,18.889801363105175,0.0,1198.617088,-884.134485,2044070.68,1706.235959933222,39.64941569282137,9
VIRTUAL,500,22384.330196,44.768660392,3.1562375,1452.5498,-6.005856,1287595.57,2575.19114,61.6,5
ANIME,660,21317.258031,32.29887580454545,0.0,2651.58476,-743.38602,590255.83,894.3270151515151,32.57575757575758,5
LAYER,292,20496.4351,70.19327089041096,0.0,6315.16184,-3960.0,806061.99,2760.4862671232877,21.91780821917808,4
ZEREBRO,589,19583.675366,33.24902439049236,7.17606,838.525464,-21.688317,1201895.18,2040.5690662139218,87.43633276740238,3
ONDO,1453,19583.424905,13.47792491741225,0.0,622.8537,-43.14102,1718197.08,1182.5169167240192,48.10736407432897,5
MOODENG,105,16099.220707,153.3259114952381,0.0,5226.481974,-28.666854,160917.0,1532.5428571428572,37.142857142857146,3
ME,488,16011.899938,32.8112703647541,0.0,2512.19454,-680.623978,316205.37,647.9618237704918,35.040983606557376,3
TAO,552,15138.94879,27.42563186594203,0.160082,964.06435,-364.625892,741208.18,1342.7684420289856,59.42028985507246,6
PNUT,582,14825.103956,25.472687209621995,0.76895,6608.942866,-6.83055,959642.8,1648.8707903780069,78.52233676975945,4
NEAR,220,13957.351839,63.442508359090915,20.022655,731.5572,0.0,812865.5,3694.8431818181816,90.45454545454545,3
RNDR,176,13566.322558,77.08137817045454,15.145045,1577.58226,0.0,619792.36,3521.5475,82.95454545454545,2
TIA,322,13021.498254,40.439435571428575,0.0,2500.9575,-661.514679,764851.23,2375.3143788819875,40.683229813664596,8
